Domain,Text,Model,BLEU Score,BERTScore,METEOR Score,Jaccard Similarity,Flesch Reading Ease,Performance Score,Rank
Sports,Text 1,M1,0.5507025414515492,0.9023870229721069,0.7197837517100428,0.6,30.87,0.756469936881139,2.0
Sports,Text 1,M2,0.5700021724257878,0.8893266916275024,0.6735430642316759,0.6909090909090909,30.16,0.768856071433801,1.0
Sports,Text 1,M3,0.6237735933297375,0.9074833989143372,0.7239120625999242,0.6981132075471699,22.75,0.7529117463619056,3.0
Sports,Text 1,M4,0.356560980663947,0.823281466960907,0.5128150170588442,0.5,5.16,0.4449365530914572,4.0
Sports,Text 1,M5,0.8885676705740809,0.9614328145980835,0.9408231841123548,0.8888888888888888,-26.32,0.34170549981926623,5.0
Sports,Text 2,M1,0.6086280316456767,0.8806616067886353,0.7341779129809297,0.7894736842105263,4.78,0.768642900738137,2.0
Sports,Text 2,M2,0.4896620051852997,0.9053189158439636,0.6391837481698388,0.6491228070175439,0.42,0.666682247978742,3.0
Sports,Text 2,M3,0.5537858015867548,0.8746246695518494,0.757400018998765,0.6612903225806452,16.18,0.8085477584544267,1.0
Sports,Text 2,M4,0.038133326547045196,0.7426900863647461,0.2240431681998481,0.2678571428571429,13.95,0.5671268955986535,4.0
Sports,Text 2,M5,0.8867614695753714,0.9589273929595947,0.938333230373905,0.896551724137931,-42.22,0.423010736023542,5.0
Sports,Text 3,M1,0.8289398959748157,0.9624804258346558,0.9061950423231162,0.8627450980392157,35.57,0.7858734354122121,2.0
Sports,Text 3,M2,0.44478451350262643,0.839670717716217,0.6337289812067259,0.47457627118644063,46.78,0.5724528629115578,3.0
Sports,Text 3,M3,0.9314997470818954,0.9472838044166565,0.8706640685814153,1.0,34.26,0.8097721780386815,1.0
Sports,Text 3,M4,0.33172522912172986,0.8384541869163513,0.49003846429938747,0.5714285714285714,33.58,0.44901599294388395,4.0
Sports,Text 3,M5,0.7493626689706603,0.9300641417503357,0.8425566186433648,0.7884615384615384,-0.26,0.3755549310344882,5.0
Sports,Text 4,M1,0.7007840105925328,0.9187081456184387,0.7515305483655839,0.7647058823529411,31.72,0.8511389048573649,2.0
Sports,Text 4,M2,0.5778474991972059,0.8950225710868835,0.6943415637860083,0.6862745098039216,33.75,0.7891143774248958,3.0
Sports,Text 4,M3,0.8264862675817636,0.9519495368003845,0.8731445624723839,0.8113207547169812,28.13,0.8588434765910379,1.0
Sports,Text 4,M4,0.046576150222383435,0.7342786192893982,0.225973881013506,0.2549019607843137,39.33,0.5000924999329187,4.0
Sports,Text 4,M5,0.7203470084518495,0.9169208407402039,0.821537239719058,0.7407407407407407,-14.14,0.4664542020225612,5.0
Sports,Text 5,M1,0.7645031211823723,0.935126543045044,0.8318711754299469,0.8148148148148149,20.08,0.7846468887839176,1.0
Sports,Text 5,M2,0.41085746796808836,0.8148213028907776,0.617535539845056,0.5084745762711864,30.16,0.7112829148035377,2.0
Sports,Text 5,M3,0.6758879707743789,0.9247109889984131,0.8040830091029216,0.8148148148148149,12.22,0.6290698319300654,3.0
Sports,Text 5,M4,0.2865047968601901,0.8012122511863708,0.4484221890051487,0.4716981132075472,0.76,0.30470219512141217,5.0
Sports,Text 5,M5,0.8848956132574574,0.9580154418945312,0.938333230373905,0.8909090909090909,-15.83,0.3414829901093011,4.0
